,Palabra,sugerencias
1267,bolu,"boluuu,bou,boludaa,boludoo,boludita,boludito,boludiar,boludeses,boli,bolt,boludiando,bowl,blue"
1268,tí,
1269,boli,"oli,bolilla,bolsita,bowling,boludita,boludito,bolt,boludiar,bowl,boludiando,beli"
1270,union,"reunion,unicos,nio"
1271,lpmmm,lpmm
1272,tweep,tee
1273,jueguito,"jueguitos,juguito,fueguitos"
1274,conta,"cont,conto,conte,conti,crota,contracturada,confia,colita,concentracion,conocia"
1275,estresa,"estres,estresada,estara,estare,estaras,estrellita,estarias,estaran,estaa,estee"
1276,maricon,"marin,mariconear,marian,marito,maroon,marisol,marilyn,marii,marie,maldicion,maraton,marianela"
1277,lautaro,"laurita,lazaro,lauty,lauri"
1278,noe,nosee
1279,pedis,"pedia,pedaso,petisa,peliss,petiso,pedrito"
1280,compañia,"compania,comparti,compas,comparacion,comia"
1281,golazooo,golaso
1282,were,
1283,aaaay,acaaa
1284,riverrr,"riverr,rivero,riveeer"
1285,rre,"rrre,rr"
1286,aprobe,"aprobeee,probe,aprobas,aprox"
1287,tramitame,traiganme
1288,vien,"vienee,vie,vientito,vicente,vierness,vice"
1289,eva,
1290,qiero,"quero,qie"
1291,convertis,"conver,conti,conversacion,cont,conser"
1292,solito,"soli,osito,solta,soloo,solucion"
1293,uff,
1294,reggaeton,reggae
1295,bionica,bianca
1296,mail,"mai,matilda,mariela,marilyn,maia,mais,mall,mattioli,mani,maki,mila,mile,milo,milu,mill,mily"
1297,nba,
1298,zoe,zo
1299,bitch,bitches
1300,juaaa,"juajua,juanma,fuaaa,buaaa,juanita"
1301,eli,"beli,celi,elias,elisa,pelii,elvis,felix"
1302,terere,"tereré,teress,terrrible"
1303,victor,vico
1304,boquitaaa,boquitaa
1305,jujuju,"jujujuju,jujuuu"
1306,boudou,"boludoo,boedo,boludito"
1307,hoyy,hooy
1308,snaps,spanish
1309,bieen,"been,bueen,tambieen"
1310,die,"dire,diver"
1311,jack,jackson
1312,vamoos,"vamonos,vamoo,vámonos"
1313,economia,"economico,comia,conocia"
1314,lodeiro,leido
1315,rodri,
1316,ailen,"aylen,allen"
1317,raúl,raul
1318,emmm,"emm,emma"
1319,besemo,besoo
1320,tyc,
1321,vidal,"videla,viale,viedma"
1322,things,"thing,thinking"
1323,golden,gold
1324,solucion,"soli,revolucion"
1325,canelones,
1326,epoca,epocas
1327,tuitear,"tuiter,tuitea,twitear,tuiteo,tuiteando,twiter,twitea"
1328,living,
1329,block,
1330,maaa,"malaa,miaaa,maa,manana,mañanaa,maia,mamitaaa,miaa"
1331,lola,"loly,lolo,loli,loka,lula,lala"
1332,blue,bueh
1333,titi,"tii,titanic,tiki,tini,tati,toti,tuti"
1334,eze,
1335,league,leave
1336,regalame,"reggae,regram"
1337,bancarme,"bancame,bancarse,bancate,bancamos,bancan,bancatela,bancaba"
1338,showmatch,shot
1339,lavezzi,vezz
1340,school,"sool,scola"
1341,energia,"energias,enfermita"
1342,soul,"should,soli,sool,saul"
1343,thrones,
1344,did,
1345,macachin,
1346,crei,"creia,cri,ceci,care,celi"
1347,iria,"irina,ironia,miriam,iran,iara"
1348,puterio,"puti,pudrio,putitos,putin,putoo"
1349,titanic,tini
1350,welcome,
1351,movistar,"most,movie,movil,mostro,morita"
1352,boy,"body,bo"
1353,ba,"bal,bay,bat,bae"
1354,floyd,"fly,flo"
1355,windows,
1356,conversacion,"conver,conexion,concentracion"
1357,faltaso,faltazo
1358,directv,"dire,directioners,direccion"
1359,vice,"voice,vic,vie,vicente,vincent,vick,vico"
1360,uu,uuh
1361,zzz,zzzz
1362,iva,"iv,ivana"
1363,rafael,
1364,gonzalez,"gonzález,gone"
1365,lg,
1366,bn,
1367,gonzález,gone
1368,comio,"comision,comia,comoo,combi,conmigoo,coming,comodo,comoda,comidita,cosito,confio,codigo,comenzo,comeria"
1369,wachin,"wachi,watching,chin,wachas,wachos,watch,wachiturros"
1370,replay,rela
1371,relacion,"rela,religion,reci,reason"
1372,pantalon,cantalo
1373,sillon,"millon,simon"
1374,crazy,cra
1375,giladas,gilda
1376,michael,"michelle,michetti"
1377,trapito,"trap,rapidito,tapita,traño"
1378,bo,"bou,bom,box,boo"
1379,twitt,"twitts,twittea,twitteo,twittera,twittean,twits,twitteros,twitteando,twiter,twiteo,twitea,twitear,twt"
1380,changos,"chano,change,changuito,chao,chongo,chabonas,chamigo,cagones,chanchito,chats"
1381,fabri,"fabi,abri,fabricio,fabra,fabio,fabián,fabian,sabri,abris,fariña,fabiana"
1382,joaquín,joaquin
1383,aldana,adriana
1384,nac,"naci,nancy,nacio,narco"
1385,wspp,"wsppp,wapp"
1386,empezas,"empeza,empeze,empesar,empieze"
1387,batman,
1388,fua,"fuaa,fuaaa"
1389,estara,"estaras,estaran,estaa,estarias,estare,estariamos,esaa,esar,estresada,estudiarr"
1390,tnt,
1391,heladito,"heladoo,head"
1392,dijieron,"direccion,diversion"
1393,frioo,"frios,ricoo,fríooo,forrito"
1394,alone,"salon,balon"
1395,champagne,"chamame,champion,chayanne,change,chamamé,chamigo,chamuya,chamuyando"
1396,besoo,"besoss,estoo"
1397,alvarez,"alvaro,álvarez"
1398,peronistas,"personitas,personita,peron,ponia"
1399,kranevitter,krane
1400,naci,"nacio,nacion,nachito,nani,natacion,nait"
1401,opinion,
1402,mac,match
1403,shit,"hit,shi,shot,shut"
1404,tami,"tamii,tamb,tambienn,tambieen,tambiennn,tambiénnn,tati,tafi"
1405,apple,
1406,secheep,
1407,teniamos,"tendriamos,tendrias,terminalo,temitas"
1408,tendrian,"tendrias,tendra,tendras,tendriamos,vendran,teoria"
1409,personita,"personitas,peron,pobresita"
1410,sisisi,"sisis,simsimi"
1411,llendo,"lendo,leandro,leeendo"
1412,max,
1413,uuh,
1414,yami,"yamil,yamila,yani"
1415,retuiteados,
1416,calorcito,"amorcito,calorr,caloor,cali,cortito"
1417,comun,"comunicacion,coming,comenzo"
1418,limon,"millon,milton,simon"
1419,grondona,
1420,reunion,
1421,hernan,"hernandez,hernán,heras"
1422,beach,reach
1423,braian,
1424,spinetta,sentia
1425,mp,
1426,aprox,"aprobas,aprobeee"
1427,fall,"falling,fail"
1428,account,accion
1429,weekly,
1430,formoseña,
1431,unfollows,"unfollow,justunfollow"
1432,ondaa,"zonda,andaa,jodaa"
1433,xp,
1434,fachero,"fachera,flashero"
1435,extrañitis,extrañandote
1436,favorr,"favoor,favorite,xfavor,faveo"
1437,tambiennn,"tambienn,tambiénnn,tambieen,tambn,tamb"
1438,fuaaa,"fuaa,faa,buaaa"
1439,fantino,"fanatico,santino,fanaticos,fati,fanta"
1440,nadia,"nadal,nadiee,naada,danisa,narnia"
1441,sabri,"sabrina,abri,sabra,sabras,sobri,sabian,sab,abris,sarita"
1442,oido,"oidos,oviedo,odioo"
1443,cagones,"cagona,cage,cagooon,gone"
1444,diasss,"diass,díasss,decisss"
1445,faso,"flasho,favs"
1446,cat,"cant,cati,chats"
1447,campora,"cámpora,camp,campari,amora,campito,camaras,campeooon,camaa,calamaro"
1448,claudio,"clau,clarito,culeado,clari"
1449,banque,
1450,tantoo,"tatoo,tannto,tano,tattoo,taanto,tatto"
1451,emm,emma
1452,dió,
1453,twits,"twitts,twiter,twiteo,twitea,twittea,twitear,twitteo,twt,twittera,twittean"
1454,faa,"fuaa,fana"
1455,birrita,"birritas,birraaa"
1456,emma,
1457,mel,"melli,melon"
1458,alperovich,
1459,vaa,vaia
1460,cosito,"osito,conto"
1461,morfi,"morfe,moris,morfar,morita,morning"
1462,chiquis,"chiquititas,chiquitito,chiquitita,chichis,chili,chini"
1463,folklore,
1464,tq,tqm
1465,ko,
1466,qur,"qu,quere,quero"
1467,laburando,labura
1468,goleador,"gold,golaso"
1469,sweet,
1470,antonella,
1471,moyano,
1472,odioo,"dioo,dioos,digoo"
1473,geografia,"geor,gera"
1474,díaz,díaa
1475,haci,"hacian,hacias,haciamos,haciendome,haciendole,haciendose,horacio"
1476,ñ,
1477,ori,"sori,moris,ortiz,coria,soria"
1478,stock,"shock,toc"
1479,aflojale,
1480,numeros,"numeritos,numerito"
1481,pibito,"pibitos,pibita,pibitas,pidio"
1482,boton,"boo,bolson"
1483,record,records
1484,tablet,
1485,porqueria,"porqe,porquee,porr"
1486,stay,skay
1487,respondeme,"respondi,respondio,resp"
1488,gor,"geor,gopro"
1489,mai,"mani,maia,maki,mais,magic,maira,marin,mamii,maite,marii,marie"
1490,paraná,"parana,paraa"
1491,cantalo,"cant,cansao"
1492,culiau,"culiar,culiaa,culiaaa,culiaooo,culiadas,culiadaso,culiadooo,culito"
1493,vivi,"vii,vivirlo,vivirla,viviana,viviria"
1494,sprite,
1495,grandee,"grandote,grace"
1496,pool,"pogo,pochoclo,poio"
1497,hashtag,haha
1498,dvd,
1499,okay,"okaa,okas"
1500,edu,
1501,riveeer,"rivero,riverr"
1502,carhué,
1503,belinda,beli
1504,acaaa,"acaa,fiacaaa,claaa"
1505,estare,"estres,esar,estaras,estaran,estaa,estarias,estresada,estee,estariamos,estudiarr"
1506,cabezaa,"caba,cabala,cabezon,cabecita"
1507,nop,
1508,casaa,"camaa,claaa,pasaa,cabala,cansao"
1509,hermosaa,"hermosoo,hermanaa,hero,heroes,hermanoo,heras"
1510,numeritos,"numerito,nenitos"
1511,amorcito,"amore,amora"
1512,luci,"luchi,lucila,luck,lugarcito"
1513,marian,"marin,marita,marianela,marisa,maia,mariela,marilyn,maira,maraton,marii,marie,miraa,ariana,adrian,mariconear,marito,american,mayra,matina,macrista"
1514,bancan,"bancando,bancame,bancaba,bancate,bianca,bandana,bancamos,bancarse,bancatela"
1515,queen,"quere,queno,bueen,querian"
1516,ameo,"amego,almenos"
1517,moni,"monito,monica,morning,moon,muni,mani"
1518,leandro,"lendo,leonardo,learn,lisandro,ladron"
1519,silvia,"silvina,silvi,silvio,silvana"
1520,pink,"ping,pain"
1521,opcion,
1522,sabados,"sabadooo,sabras,sabra"
1523,porteño,"porteños,porteña,portugues,porqe"
1524,qepd,
1525,put,"puti,putaa,putin,putoo"
1526,morning,moris
1527,peron,"peroo,perdonnn,perdooon,perón,peero,personitas,perreo,per,efron,veron,presion"
1528,magui,"magic,magali,magica,agu,mau"
1529,seran,"sheeran,superman,season"
1530,maximo,maximiliano
1531,abuelita,"abuelito,abue,buenita,paulita"
1532,deberian,"deberias,deberiamos"
1533,muchisimas,"muchisima,muchisimooo,musicas"
1534,been,"bueen,bueeno,boee"
1535,javi,"japi,jovi"
1536,ahno,
1537,ʖ,
1538,genias,"geniaa,geniaal,genioo,ganitas"
1539,bancando,"bancamos,band,bandana,bancame,bancaba,bancate"
1540,cheta,"chetos,chelsea"
1541,porteños,"porteña,portugues,oreos"
1542,icardi,
1543,juani,"juanita,juanchi,juancito,juanjo,juanma,juampi,juancho"
1544,samsung,
1545,jei,jesi
1546,arbolito,"arbol,abuelito"
1547,safa,"safar,saa,safo,safe,saaa"
1548,qie,"qien,quie"
1549,mier,"mierd,mierrr,mer,mierrda,miller,mister,mile,mike,minecraft"
1550,waiting,"wait,watching"
1551,mardel,"marvel,marcela,mariela,gardel,marge,marie,marianela"
1552,perón,per
1553,horacio,horaa
1554,barilo,"barilooo,barilocheee,barbi,balon"
1555,vicente,"vienee,vincent"
1556,porqe,"porquee,pobree,porteña"
1557,acoste,"acosta,acoustic"
1558,nenita,"nenito,nenitos,nenaa"
1559,wanda,"wanted,andaa"
1560,hard,"heard,had,hardwell,hara,hare,hand,head,hear"
1561,nochesita,nocheros
1562,tonight,tontita
1563,joaquin,
1564,sebastian,"sebastián,sebas,sabian"
1565,juve,"jue,juventus"
1566,pm,
1567,embolante,ebola
1568,xipolitakis,
1569,exito,"exitosss,leito,existis"
1570,ooh,oo
1571,nike,"nice,nick"
1572,forget,
1573,tamb,"tambn,tambienn,tambieen,tambiénnn,tmbn"
1574,ñam,
1575,vm,
1576,habian,"habias,habria,habran,habitacion,hacian,habiamos,fabian,sabian,habilitame"
1577,kinder,"tinder,kiere"
1578,end,"rendi,lendo"
1579,zi,
1580,estresada,"estres,estaras,estarias,estrellita"
1581,xddd,xdd
1582,horita,"morita,horaa"
1583,superclasico,"superclásico,superalo"
1584,salidita,"saliii,saldra,said,sarita"
1585,long,"loving,logo,leon"
1586,wish,
1587,barbi,"barbie,barby"
1588,skype,sky
1589,graciaas,"graciias,graciela,garcas,grace"
1590,teresss,"teress,queresss,teresita"
1591,blackberry,
1592,daniela,danisa
1593,gerardo,gera
1594,some,"someone,somebody,sometimes"
1595,clarin,"clari,clarito,clarita,claroo,clorinda"
1596,manaos,"manana,matos"
1597,villera,"villero,ville,villeros,villagra,villalba,vilma"
1598,preg,"prog,pure"
1599,presi,"presion,presentacion,pepsi,resis,pobresito,pobresita,premium,premier,prendio"
1600,cs,csm
1601,foo,"feoo,fotoo"
1602,barsa,"bardea,bastaa,bardeas,bardera"
1603,néstor,
1604,zayn,
1605,cont,"conto,conte,conti,country,counter,coni,coti,coty,contracturada,cant"
1606,trolo,"tolo,troll,trolita"
1607,bamos,bancamos
1608,nelson,
1609,amix,"amig,amii"
1610,laurita,"lauri,clarita,labura,flaquita,lauty"
1611,piscu,"pisculichi,pichu,pic"
1612,aguirre,"aguilera,aguilar"
1613,round,"around,run,found,sound"
1614,reggae,agregame
1615,selena,"elena,sele,seven"
1616,chi,"chin,chris,chili,chini,child"
1617,juajua,
1618,adolfo,
1619,nerd,
1620,speed,speedy
1621,berni,"bernal,bueni,bersuit,bertone"
1622,subio,"subis,subtitulos"
1623,vimo,"vido,vico,vemo"
1624,yyyy,"yyya,yayayaya"
1625,valentín,valee
1626,hate,hare
1627,educacion,edicion
1628,kirchnerista,kirchneristas
1629,tati,"tactil,taty,tafi,toti,tuti"
1630,malena,"malaa,malal"
1631,manana,"anana,mann,madonna,mammana,malaa"
1632,nqn,
1633,cagona,"cagooon,cagandome,cagandola,cargosa,cagazo,cajon,cansao"
1634,putaa,putitas
1635,capitulos,"capi,campito,caprio,capitan"
1636,chanchito,"chanchi,chanchita,changuito,chinito"
1637,findee,fidel
1638,chano,"chao,chavon,change,chabonn,chanchi,channel,chabonas,chamigo,chayero"
1639,pri,"paris,praia,primi"
1640,abi,"abri,fabi,cabio,fabio,abris"
1641,verr,vere
1642,family,"fail,mily"
1643,lomitos,"lomitas,globitos"
1644,damian,"damián,dami,damn,daiana,dalma"
1645,smile,mile
1646,waaa,waa
1647,yourself,yours
1648,emiliano,"emilio,emilia,milan,milani"
1649,jonas,"jona,jones,joan,jon,joa"
1650,bou,
1651,kraka,
1652,avion,pavon
1653,yogurt,yours
1654,leon,"lebron,lechon,leonardo,lero"
1655,jorgito,rojito
1656,matías,matos
1657,tiempito,"tiempoo,timido,temp"
1658,pisculichi,
1659,alexis,"alesi,alegrias"
1660,dont,dond
1661,dc,
1662,fv,
1663,jejej,"jejejej,jejejeje,jejejejeje,jej,jee"
1664,denis,decias
1665,qt,
1666,bowen,"brown,bowling"
1667,traumada,traumado
1668,jeans,
1669,interes,"inter,intro"
1670,mexico,medicos
1671,beto,"betos,bebito,bertolo,bertone,beat,beio"
1672,nigga,nigeria
1673,caida,"caia,caido,caiate,aiuda,cajita"
1674,grido,
1675,paa,"paka,papaa,pasaa,paraa,pasao,pajaa"
1676,exelente,
1677,ago,
1678,twittea,"twittera,twittean,twitea,twitear,twitteo,twitteando,twitts,twiter,twiteo,twitteros,twiteando,tuitea"
1679,papu,popu
1680,american,amaria
1681,sha,"shaky,shake,share"
1682,anibal,aníbal
1683,calamaro,"calm,claaro"
1684,arnet,
1685,spurs,
1686,feed,
1687,siempree,
1688,unicos,unicas
1689,putisima,"reputisima,puti,putitas,putitos,putin"
1690,mall,"malal,mill"
1691,sánchez,
1692,feels,
1693,pili,"pii,piti,piri"
1694,ksa,
1695,twittera,"twiter,twitea,twittean,twitear,twitteros,twitteo,twitteando,twitts,twiteo,twiteando"
1696,minions,"minion,minutitos"
1697,remember,
1698,trank,"tranki,tranka,track,tra,frank,tranquii"
1699,caruso,cards
1700,fernecito,"ferne,fernettt"
1701,because,
1702,adele,padel
1703,zzzz,
1704,balanta,balon
1705,lula,"lucila,lulu,lala"
1706,dakar,"daa,aka"
1707,bang,"banega,band,bian"
1708,pra,praia
1709,é,
1710,wha,
1711,voi,"vofi,voice"
1712,vivirlo,"vivirla,viviria"
1713,cofler,cojer
1714,eyes,eees
1715,chauu,"chuu,chuuu,chaaau,chamuya"
1716,jejejeje,"jejejej,jejejejeje"
1717,suárez,"sure,juárez"
1718,lanús,lan
1719,madryn,"mary,marilyn,marin"
1720,track,"tranki,tranka,tra"
1721,abue,abuelito
1722,conosco,"conocia,conto"
1723,politicos,"politico,politicas,policias,polino"
1724,ruiz,
1725,esque,"esquel,esq,estube"
1726,aldi,"aldo,aldosivi,alli,adri"
1727,malisima,"malísima,mais,marisa"
1728,bardea,"bardeas,bardera,bardeando,bardeo,bardearme,bardero,area"
1729,meti,"metia,mentis,mentime,metallica,medi,meet,mentiraa"
1730,pucha,punchi
1731,crush,rush
1732,eeee,"eeeeh,eees"
1733,holi,"holiii,oli,hoi,hold,holu"
1734,youuu,
1735,expo,
1736,nicky,"nick,nicki"
1737,amig,"amigui,amiguis,amigoss,amigass,amiguiii,amiguitos,amiguitas,hamiga,amii,amiguitaaa,chamigo"
1738,street,"stereo,start,steve,store"
1739,ariana,"adriana,aranda,adrian,parana,daiana,oriana,marianela"
1740,dirigencia,dire
1741,roger,"rogelio,robert"
1742,rasin,"rating,rawson"
1743,ponia,"pondria,sonia,podias,podian,pomona,personitas"
1744,sentia,"sentas,semanitas"
1745,superman,superalo
1746,first,
1747,tranki,"tranka,tranquii"
1748,stereo,steve
1749,lrpm,"lptm,lpmm"
1750,jujeños,"jujeño,jujeña"
1751,betty,
1752,dolio,oli
1753,pasoo,"pasao,paolo,pao,ascoo,palaso,pastore"
1754,flashea,"flashean,flashear,flashera,flasheas,flasha,flashe,flasheo,flashar,flashas,flashie,flashan,flashee,flasheando,flashero,flasho,flashando"
1755,expliquenme,
1756,remisero,"reirse,premier,reis,reirnos"
1757,porfis,"porfin,porfaa"
1758,superclásico,superalo
1759,tecnico,"tecnica,tecito,tecnologia"
1760,nina,
1761,noelia,nokia
1762,ledesma,
1763,sl,slb
1764,hrs,hr
1765,nor,
1766,reis,"reirse,reimos,rendis,reia,resis,reci,resp,rias"
1767,nonono,nononono
1768,oidos,idolos
1769,taan,"taanto,tano,tann,taka"
1770,dioos,"dioo,digoo,doors,idolos,xdios,doritos"
1771,acosta,"acoustic,actua"
1772,ezequiel,
1773,tincho,
1774,euuu,"euu,celuuu,jesuuu"
1775,escabiar,"escabiando,esaa"
1776,mirta,"miraa,morita,marita,maira,miriam,mirenla"
1777,rihanna,hanna
1778,ceci,"cecilia,celi,cafecito,cabecita"
1779,analisis,apocalipsis
1780,line,linyera
1781,pastore,"store,pastelitos,pastafrola,pasao"
1782,deos,"does,deus"
1783,watch,"watching,wachi,match,wachas,wachos"
1784,confio,"confia,coni,confundi,conto,conti,conexion,conmigoo"
1785,hiper,"hip,hitler"
1786,vierness,"vienee,vere"
1787,cancer,
1788,tontita,"tormentita,toti"
1789,every,"everyday,everyone,everybody,everywhere,evelyn"
1790,nadal,
1791,tomorrowland,
1792,ulises,
1793,tee,"teke,teen"
1794,joy,"jony,joyaa"
1795,beder,
1796,valio,"vai,valeria"
1797,poneme,ponce
1798,oo,
1799,dreams,dread
1800,jam,"jamon,jaime"
1801,ruben,rubén
1802,masomenos,moments
1803,should,hold
1804,cuatri,"cati,culiar"
1805,dormiii,"dormii,dormiir,dormiria,dormia,domir,dormirla"
1806,arbol,
1807,finn,fiin
1808,estoo,"estoi,estoyy,estubo,est,lesto"
1809,mija,"mila,miaa,mika,maia"
1810,cracks,crocs
1811,villero,"villeros,ville,villagra"
1812,temon,"temaso,temazo,tem,emo"
1813,deep,"dee,dep,depa,decepcion"
1814,pidio,"rapidito,pii,pinedo"
1815,empeza,"empeze,empesar,empieze,empiezen"
1816,yy,
1817,cry,cr
1818,omar,
1819,comenzo,"comoo,conmebol"
1820,recep,"recepcion,recently"
1821,culiaaa,"culiaa,culiadas,claaa,culiar,culiadaso,culiaooo,culiadooo"
1822,hit,"hits,hnito,hnita"
1823,amigui,"amiguis,amiguiii,amiguitos,amiguitas,amii,amiguitaaa"
1824,lisandro,"sandro,linndo,liindo"
1825,valeria,"varela,volveria,valee,alegrias"
1826,alfin,"alina,alfonsin,alfonso"
1827,eminem,
1828,closs,"close,class"
1829,giménez,gimenez
1830,depre,"depresion,dep,desaparecio"
1831,barbie,barby
1832,extrañandote,extrañarrr
1833,pobresito,"pobresita,pobrecitos,pobree,presion"
1834,space,peace
1835,boeee,boee
1836,brown,"brownie,brownies,bronk,broken,born,broncaa"
1837,tuiter,"tuiteo,tuitea,twiter,tuiteando,twitear"
1838,melli,"mellis,melancolia,metallica,melisa,melanie"
1839,rodolfo,
1840,occhiato,
1841,rompi,"rompela,ropita"
1842,existis,exitosss
1843,quere,"queresss,quero,qeres,querian,queridoo"
1844,tios,"tips,tias,trio"
1845,papis,"papitas,papito,paris,paises"
1846,sandwich,sand
1847,porfaaa,porfaa
1848,agapornis,
1849,its,hits
1850,wait,
1851,care,"carcel,caretear,carp,caracter,carrefour,cartelito,cage,cake,came"
1852,own,
1853,dip,
1854,futsal,
1855,querian,"queriamos,quero,quedaria,queridoo"
1856,yayaya,yayayaya
1857,bal,balon
1858,hermosoo,"hermanoo,hero,heroes"
1859,minitah,"minima,maquinita,inta,minaj"
1860,girls,
1861,porfavorrr,"porfaa,porr"
1862,pretemporada,
1863,aw,
1864,part,"partio,partidoo,partidaso,parejita,parejitas,paty,doparti"
1865,poker,poe
1866,jime,"jaime,jimena"
1867,mañ,
1868,bell,"beli,bull,bill"
1869,moris,"morita,memories"
1870,hablenme,"hablee,hablamee"
1871,cafecito,"cafesito,cabecita,carito"
1872,yankee,yankees
1873,mila,"milas,milan,milka,milani,milanga,milangas,emilia,mile,milo,milu,mill,mily,miaa,mika,maia"
1874,kien,"ken,kike"
1875,muni,mani
1876,hdmp,"hdrmp,hdm,hdps"
1877,ire,dire
1878,escribis,"escribio,escribia,recibi"
1879,abri,"abris,bri,aburri,habria,aburris,sabrina,aburridoo,adri"
1880,elena,
1881,brother,"brothers,other"
1882,ades,
1883,beatles,beat
1884,taylor,
1885,ford,
1886,thiago,thing
1887,arturo,"arto,arbitros"
1888,ra,
1889,tips,tias
1890,bachata,"batacha,bancatela,acha"
1891,emojis,emoji
1892,side,said
1893,beibi,
1894,zinos,zino
1895,war,wars
1896,body,
1897,tandil,tania
1898,iara,"isaura,iaaa"
1899,agronomía,
1900,stalkea,"stalkeas,stalkeada,stalkearme,salteña,talk,state"
1901,millon,"mill,milton,milo,milan,miller"
1902,cabio,"caido,cabron,fabio,camion,caprio,carrio,carito,cabezon"
1903,gatita,"galletita,gatitos,patita"
1904,nenaa,negraa
1905,dd,
1906,xxi,xx
1907,pereyra,"pereira,perderla,perry,perri"
1908,kill,"skills,kicillof"
1909,eleccion,"leccion,electronica,perfeccion"
1910,jr,jrs
1911,presentacion,presion
1912,vamoo,"vamonos,vam,vaaamo"
1913,summer,
1914,cumpa,"cumpas,cumpli,cumplio,cumplis,kumpa,cup"
1915,well,wall
1916,dra,"dira,drake,diran,dread"
1917,bueh,
1918,mnes,nes
1919,imagenes,imaginense
1920,bardeando,"bardeo,bardeas,bardera,bardero,bardearme"
1921,li,"lis,lia"
1922,pf,
1923,sun,sound
1924,lpda,
1925,raul,
1926,bayern,"bayer,barney"
1927,naza,nara
1928,tamara,"mataria,amaria"
1929,dana,"danisa,daa,dany,dara,damn,díaa"
1930,nancy,
1931,jujeño,jujeña
1932,haha,"haa,hahahaha,hara"
1933,poquitito,
1934,recuperatorio,
1935,chevere,chevrolet
1936,heavy,heaven
1937,eugenia,
1938,year,years
1939,juampi,japi
1940,wapp,wap
1941,lb,
1942,pinedo,
1943,chin,"chini,cin,chinito,chinita"
1944,ess,"less,esso,jesse,jessi"
1945,sonrie,"sonreis,sonrio,sori,sonrisita,sonia,sobri,soria"
1946,mierrr,"mierrda,mierd"
1947,movie,"move,movil,movidito"
1948,pic,"epic,pichu,psico"
1949,ac,"acv,ace,act"
1950,ani,"mani,yani,tania,angie"
1951,guasones,gone
1952,also,"palaso,aldo"
1953,yamila,yamil
1954,votacion,
1955,cortita,"cortito,coria,coti,crota"
1956,mañanaa,
1957,podrian,"podran,podian,podra,pondria,podras,podriamos,podias,porfin"
1958,name,"nae,nare"
1959,ig,
1960,politico,"politicas,polino,policias,polideportivo,piti"
1961,gabriela,"graciela,mariela,gardel"
1962,alfredo,
1963,naty,"nat,nait"
1964,lr,
1965,higado,
1966,problem,"probe,problemita,problemitas"
1967,broncaa,bronk
1968,tube,estube
1969,sam,"spam,samba"
1970,coming,"comia,comision,conmigoo,combi"
1971,agostina,
1972,dario,"darío,darling"
1973,xbox,"box,xoxo"
1974,louis,"loquis,loqui,luisi"
1975,kee,
1976,fi,"fit,fix"
1977,maybe,"mayer,malbec"
1978,popu,"pou,populismo"
1979,tereré,teress
1980,um,uma
1981,basket,
1982,tendrias,"tendras,tendriamos,tendra,detras,teoria"
1983,desperto,"despertas,depresion,esperoo,desaparecio"
1984,mamiii,"mamii,aiii,marii"
1985,obvioo,
1986,crocs,cronica
1987,pibita,"pibitas,pibitos"
1988,nokia,oki
1989,run,
1990,adrian,"adriana,adrián,adri,diran"
1991,não,
1992,vientito,
1993,habias,"habiamos,habria,habras,hacias,harias,chabas,habitacion,habilitame,haciamos"
1994,conto,"conte,conti,croto,conocia"
1995,nutella,
1996,filosofia,
1997,sleep,sele
1998,said,"sad,sand"
1999,amiguis,"amiguitos,amiguitas,amiguiii,amii,amiguitaaa,amigoss,amigass"
2000,kk,
2001,travel,"traves,travesti"
2002,prince,"princess,principe,princesita,pringles,principito"
2003,reci,"recibi,grecia,recepcion,reia,parecio,roci"
2004,pauli,"paulina,paulita,pañuelitos"
2005,sony,"sono,soon,sory,soyy"
2006,iv,ivo
2007,bom,
2008,mile,"miller,milo,milu,mill,mily,mike"
2009,ush,rush
2010,rendis,"rendi,resis"
2011,amiguitos,"amiguitas,amigoss,amiguitaaa,amiguiii,amii,amigass"
2012,camion,"champion,campito,camii,camiii,chamigo,cajon,caido,campeooon"
2013,depresion,"expresion,presion,diversion"
2014,labura,lauri
2015,wanchope,wachos
2016,stones,"stone,store,sonreis"
2017,peñarol,pearl
2018,reves,"revez,neves"
2019,pelu,"pelotud,peluqueria,peliculon,peru,peliculaaa,pelotudita,pelotudeses"
2020,frios,frias
2021,qu,quw
2022,idolos,"idolooo,idolaa"
2023,sobrinito,"sobrinita,sobri,sonrio,sori"
2024,psicologia,"psicologa,psicologo,psico,psicológicamente"
2025,nice,"nicole,nick"
2026,molina,"monica,mogolica"
2027,lebron,"lero,learn"
2028,empeze,"empieze,empiezen"
2029,reirse,"reirte,reirnos,reite"
2030,dormia,"dormirla,dormiria,dormii,dormiir,domir,dormír"
2031,semanitas,"semanaa,sentas"
2032,turn,
2033,flashero,"flasheo,flashear,flashe,flasho,flashera,flashar,flashie,flashee,flasheando,flashean,flasheas,flasha,flashando,flashas,flashan"
2034,temaso,"temazo,temitas,temaa,tempranoo"
2035,mediodia,"medi,medicos"
2036,flashean,"flashan,flasheando,flasha,flashear,flashe,flashera,flasheas,flashando,flasheo,flashar,flashas,flashie,flashee,flasho"
2037,heladoo,head
2038,xfavor,favoor
2039,flasha,"flashar,flashas,flashan,flashear,flashera,flasheas,flashe,flasho,flashando,flasheando,flasheo,flashie,flashee"
2040,gool,"goooll,gold"
2041,zonda,
2042,fail,"fabi,fati"
2043,dee,
2044,dsd,
